tier_id,task_id,policy_id,outcome,cost_accounting_complete,actual_cost_usd,attempts,resumed
full,config-numeric-attribute,fixed:openai/gpt-5.6-luna,resolved,true,0.0082574,1,false
full,config-numeric-attribute,fixed:x-ai/grok-4.5,resolved,true,0.025416,1,false
full,config-numeric-attribute,fixed:anthropic/claude-opus-4.6,resolved,true,0.057655000000000005,1,false
full,config-numeric-attribute,fixed:qwen/qwen3-coder,unresolved,true,0.010742600000000001,1,false
full,config-numeric-attribute,pareto:frozen-nine-rung,resolved,true,0.0012884314799999999,1,false
full,http-utf8-content-length,fixed:openai/gpt-5.6-luna,resolved,true,0.007743,1,false
full,http-utf8-content-length,fixed:x-ai/grok-4.5,resolved,true,0.010294000000000001,1,false
full,http-utf8-content-length,fixed:anthropic/claude-opus-4.6,resolved,true,0.05722,1,false
full,http-utf8-content-length,fixed:qwen/qwen3-coder,resolved,true,0.0030975,1,false
full,http-utf8-content-length,pareto:frozen-nine-rung,resolved,true,0.0007926996000000001,1,false
full,url-query-repeat-empty-values,fixed:openai/gpt-5.6-luna,resolved,true,0.012610200000000002,1,false
full,url-query-repeat-empty-values,fixed:x-ai/grok-4.5,resolved,true,0.041304,1,false
full,url-query-repeat-empty-values,fixed:anthropic/claude-opus-4.6,resolved,true,0.066805,1,false
full,url-query-repeat-empty-values,fixed:qwen/qwen3-coder,resolved,true,0.023539400000000005,1,false
full,url-query-repeat-empty-values,pareto:frozen-nine-rung,resolved,true,0.0008895894,1,false
full,ndjson-chunk-framer,fixed:openai/gpt-5.6-luna,resolved,true,0.015051849999999999,1,false
full,ndjson-chunk-framer,fixed:x-ai/grok-4.5,resolved,true,0.009116,1,false
full,ndjson-chunk-framer,fixed:anthropic/claude-opus-4.6,resolved,true,0.12680499999999997,1,false
full,ndjson-chunk-framer,fixed:qwen/qwen3-coder,unresolved,true,0.10826060000000004,1,false
full,ndjson-chunk-framer,pareto:frozen-nine-rung,resolved,true,0.0025219297599999996,2,false
full,retry-cancellation-backoff,fixed:openai/gpt-5.6-luna,resolved,true,0.1215698,1,false
full,retry-cancellation-backoff,fixed:x-ai/grok-4.5,resolved,true,0.027129999999999998,1,false
full,retry-cancellation-backoff,fixed:anthropic/claude-opus-4.6,resolved,true,0.11775499999999998,1,false
full,retry-cancellation-backoff,fixed:qwen/qwen3-coder,resolved,true,0.0403071,1,false
full,retry-cancellation-backoff,pareto:frozen-nine-rung,resolved,true,0.011340113999999998,3,false
full,safe-relative-atomic-writer,fixed:openai/gpt-5.6-luna,resolved,true,0.038344949999999996,1,false
full,safe-relative-atomic-writer,fixed:x-ai/grok-4.5,resolved,true,0.03358,1,false
full,safe-relative-atomic-writer,fixed:anthropic/claude-opus-4.6,resolved,true,0.0719,1,false
full,safe-relative-atomic-writer,fixed:qwen/qwen3-coder,unresolved,true,0.0170465,1,false
full,safe-relative-atomic-writer,pareto:frozen-nine-rung,resolved,true,0.0015654996,1,false
full,cli-options-double-dash,fixed:openai/gpt-5.6-luna,resolved,true,0.08632965000000005,1,false
full,cli-options-double-dash,fixed:x-ai/grok-4.5,resolved,true,0.029911999999999998,1,false
full,cli-options-double-dash,fixed:anthropic/claude-opus-4.6,resolved,true,0.09960000000000002,1,false
full,cli-options-double-dash,fixed:qwen/qwen3-coder,unresolved,true,0.04489638000000001,1,false
full,cli-options-double-dash,pareto:frozen-nine-rung,resolved,true,0.0014721260399999999,1,false
full,bounded-async-pool-order,fixed:openai/gpt-5.6-luna,resolved,true,0.01078585,1,false
full,bounded-async-pool-order,fixed:x-ai/grok-4.5,resolved,true,0.024228000000000003,1,false
full,bounded-async-pool-order,fixed:anthropic/claude-opus-4.6,resolved,true,0.08596000000000001,1,false
full,bounded-async-pool-order,fixed:qwen/qwen3-coder,resolved,true,0.009294090000000001,1,false
full,bounded-async-pool-order,pareto:frozen-nine-rung,resolved,true,0.0008548736,1,false
full,http-range-single-byte,fixed:openai/gpt-5.6-luna,resolved,true,0.09554115,1,false
full,http-range-single-byte,fixed:x-ai/grok-4.5,resolved,true,0.18451999999999996,1,false
full,http-range-single-byte,fixed:anthropic/claude-opus-4.6,resolved,true,0.354305,1,false
full,http-range-single-byte,fixed:qwen/qwen3-coder,resolved,true,0.00950608,1,false
full,http-range-single-byte,pareto:frozen-nine-rung,resolved,true,0.00480125268,2,false
full,content-type-quoted-parameters,fixed:openai/gpt-5.6-luna,unresolved,true,0.2726702,1,false
full,content-type-quoted-parameters,fixed:x-ai/grok-4.5,resolved,true,0.434394,1,false
full,content-type-quoted-parameters,fixed:anthropic/claude-opus-4.6,resolved,true,1.1016549999999998,1,false
full,content-type-quoted-parameters,fixed:qwen/qwen3-coder,unresolved,true,0.7047222050000002,1,false
full,content-type-quoted-parameters,pareto:frozen-nine-rung,resolved,true,0.00406471548,1,false
full,etag-conditional-file-response,fixed:openai/gpt-5.6-luna,resolved,true,0.0251454,1,false
full,etag-conditional-file-response,fixed:x-ai/grok-4.5,resolved,true,0.068372,1,false
full,etag-conditional-file-response,fixed:anthropic/claude-opus-4.6,resolved,true,0.16285,1,false
full,etag-conditional-file-response,fixed:qwen/qwen3-coder,unresolved,true,0.056663099999999994,1,false
full,etag-conditional-file-response,pareto:frozen-nine-rung,resolved,true,0.0016525361999999999,1,false
full,signed-token-malformed-input,fixed:openai/gpt-5.6-luna,resolved,true,0.046949950000000004,1,false
full,signed-token-malformed-input,fixed:x-ai/grok-4.5,resolved,true,0.101822,1,false
full,signed-token-malformed-input,fixed:anthropic/claude-opus-4.6,resolved,true,2.45646,1,false
full,signed-token-malformed-input,fixed:qwen/qwen3-coder,resolved,true,0.0095572,1,false
full,signed-token-malformed-input,pareto:frozen-nine-rung,resolved,true,0.01102086676,3,false
full,secure-static-path-resolution,fixed:openai/gpt-5.6-luna,resolved,true,0.056856149999999994,1,false
full,secure-static-path-resolution,fixed:x-ai/grok-4.5,resolved,true,0.3780460000000001,1,false
full,secure-static-path-resolution,fixed:anthropic/claude-opus-4.6,resolved,true,1.2128,1,false
full,secure-static-path-resolution,fixed:qwen/qwen3-coder,unresolved,true,0.1264723,1,false
full,secure-static-path-resolution,pareto:frozen-nine-rung,resolved,true,0.06412118776000002,7,false
