task_id,policy,outcome,actual_cost_usd,cost_accounting_complete,attempts
config-numeric-attribute,frozen-nine-rung-pareto,resolved,0.0010099739999999999,true,1
config-numeric-attribute,generic-one-model,resolved,0.009515349999999999,true,1
retry-cancellation-backoff,frozen-nine-rung-pareto,resolved,0.0035400838,true,2
retry-cancellation-backoff,generic-one-model,unresolved,0.0294549,true,1
safe-relative-atomic-writer,frozen-nine-rung-pareto,resolved,0.0027481776,true,2
safe-relative-atomic-writer,generic-one-model,unresolved,0.0187159,true,1
http-utf8-content-length,frozen-nine-rung-pareto,resolved,0.0008623902000000001,true,1
http-utf8-content-length,generic-one-model,resolved,0.0050836499999999995,true,1
url-query-repeat-empty-values,frozen-nine-rung-pareto,resolved,0.0010910018000000001,true,1
url-query-repeat-empty-values,generic-one-model,resolved,0.009146099999999999,true,1
cli-options-double-dash,frozen-nine-rung-pareto,resolved,0.010507983600000001,true,4
cli-options-double-dash,generic-one-model,unresolved,0.01695855,true,1
ndjson-chunk-framer,frozen-nine-rung-pareto,resolved,0.001204119,true,1
ndjson-chunk-framer,generic-one-model,resolved,0.00627805,true,1
bounded-async-pool-order,frozen-nine-rung-pareto,resolved,0.00080956596,true,1
bounded-async-pool-order,generic-one-model,unresolved,0.013775349999999999,true,1
http-range-single-byte,frozen-nine-rung-pareto,unresolved,0.16140215392,true,9
http-range-single-byte,generic-one-model,unresolved,0.01747295,true,1
content-type-quoted-parameters,frozen-nine-rung-pareto,unresolved,0.23698822539999997,true,9
content-type-quoted-parameters,generic-one-model,unresolved,0.0464981,true,1
etag-conditional-file-response,frozen-nine-rung-pareto,resolved,0.007374121399999999,true,3
etag-conditional-file-response,generic-one-model,unresolved,0.020934750000000002,true,1
signed-token-malformed-input,frozen-nine-rung-pareto,resolved,0.0581920278,true,6
signed-token-malformed-input,generic-one-model,unresolved,0.020511400000000003,true,1
secure-static-path-resolution,frozen-nine-rung-pareto,unresolved,0.19551438387999998,true,9
secure-static-path-resolution,generic-one-model,unresolved,0.02601685,true,1
